step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.18075677752494812,0.18075677752494812,4.0,0.0
100,0.16227833926677704,0.16227833926677704,4.0,0.0
200,0.1567191779613495,0.1567191779613495,3.9921875,0.0
300,0.1556139886379242,0.1556139886379242,4.0,0.0
400,0.15494725108146667,0.15494725108146667,4.0,0.0
500,0.15459871292114258,0.15459871292114258,4.0,0.0
600,0.15434472262859344,0.15434472262859344,4.0,0.0
700,0.15439721941947937,0.15439721941947937,4.0,0.0
800,0.15455162525177002,0.15455162525177002,4.0,0.0
900,0.15444691479206085,0.15444691479206085,4.0,0.0
1000,0.15594658255577087,0.15594658255577087,4.0,0.0546875
1100,0.3099927306175232,0.1549963653087616,4.0,0.1328125
1200,0.30645835399627686,0.15322917699813843,4.0,0.53125
1300,0.3083380162715912,0.1541690081357956,4.0,0.59375
1400,0.3086968660354614,0.1543484330177307,4.0,0.640625
1500,0.3064254820346832,0.1532127410173416,4.0,0.6171875
1600,0.30769214034080505,0.15384607017040253,4.0,0.6484375
1700,0.3085736632347107,0.15428683161735535,4.0,0.6484375
1800,0.30483314394950867,0.15241679549217224,4.0,0.625
1879,0.30781257152557373,0.15390628576278687,4.0,0.59375
