seed,target,latent_idx,score,hit,peak_position,outside_mean,peak_distance,weighted_discovery_reconstruction
7,cell_0,73,0.9659149175322108,True,0.1875,0.0199090372440916,0.0125,0.05680962651968002
4,cell_0,60,0.9654292078638594,True,0.1875,0.0193643315273607,0.0125,0.059807125478982925
5,cell_0,77,0.9643241792819772,True,0.1875,0.0218754917603053,0.0125,0.0527200847864151
6,cell_0,79,0.9631784515095514,True,0.1875,0.0284350052597314,0.0125,0.06188603490591049
0,cell_0,82,0.962799402021149,True,0.1875,0.0292165554109026,0.0125,0.06332536786794662
3,cell_1,104,0.9790072324998458,True,0.3875,0.0163551041115581,0.0125,0.05675244703888893
1,cell_1,5,0.9787978550883546,True,0.3875,0.0259563348058822,0.0125,0.05058366805315018
7,cell_1,38,0.9772303884686764,True,0.3875,0.0231233954705929,0.0125,0.05680962651968002
9,cell_1,29,0.975838306590854,True,0.3875,0.0246195910557816,0.0125,0.057648688554763794
8,cell_1,32,0.9707038724327962,True,0.3875,0.0334776673269363,0.0125,0.056331485509872437
1,cell_2,112,0.964980079464668,True,0.6875,0.0286476918274828,0.0124999999999999,0.05058366805315018
3,cell_2,71,0.96297622945023,True,0.6875,0.0293836692141889,0.0124999999999999,0.05675244703888893
2,cell_2,3,0.962160796003838,True,0.6875,0.0349258542657336,0.0124999999999999,0.05974620208144188
6,cell_2,106,0.9614814998456346,True,0.6875,0.0366144279197682,0.0124999999999999,0.06188603490591049
0,cell_2,108,0.9536682907885826,True,0.6875,0.0405435507166599,0.0124999999999999,0.06332536786794662
3,cell_3,127,0.9795363075607816,True,0.7125000000000001,0.011475925230106,0.0125000000000001,0.05675244703888893
9,cell_3,22,0.9793250660235548,True,0.7125000000000001,0.0098049782362355,0.0125000000000001,0.057648688554763794
1,cell_3,28,0.9790014392526166,True,0.7125000000000001,0.0095788596462891,0.0125000000000001,0.05058366805315018
5,cell_3,123,0.9787627055467764,True,0.7125000000000001,0.0164529869143684,0.0125000000000001,0.0527200847864151
7,cell_3,72,0.9783907756813356,True,0.7125000000000001,0.0212350298411793,0.0125000000000001,0.05680962651968002
