seed,target,latent_idx,score,hit,peak_position,outside_mean,peak_distance,weighted_discovery_reconstruction
7,cell_0,73,0.9659149175322108,True,0.1875,0.0199090372440916,0.0125,0.05680962651968002
4,cell_0,60,0.9654292078638594,True,0.1875,0.0193643315273607,0.0125,0.059807125478982925
5,cell_0,77,0.9643241792819772,True,0.1875,0.0218754917603053,0.0125,0.0527200847864151
6,cell_0,79,0.9631784515095514,True,0.1875,0.0284350052597314,0.0125,0.06188603490591049
0,cell_0,82,0.962799402021149,True,0.1875,0.0292165554109026,0.0125,0.06332536786794662
1,cell_0,111,0.962151419702739,True,0.1875,0.018726381008767,0.0125,0.05058366805315018
3,cell_0,28,0.9605077391691452,True,0.1875,0.035768318573998,0.0125,0.05675244703888893
9,cell_0,56,0.9577403323227234,True,0.1875,0.0406624721334021,0.0125,0.057648688554763794
2,cell_0,25,0.9445768869670575,True,0.1875,0.0712989841691542,0.0125,0.05974620208144188
8,cell_0,31,0.6738286306788117,False,0.1625,0.3210541387885813,0.0374999999999999,0.056331485509872437
3,cell_1,104,0.9790072324998458,True,0.3875,0.0163551041115581,0.0125,0.05675244703888893
1,cell_1,5,0.9787978550883546,True,0.3875,0.0259563348058822,0.0125,0.05058366805315018
7,cell_1,38,0.9772303884686764,True,0.3875,0.0231233954705929,0.0125,0.05680962651968002
9,cell_1,29,0.975838306590854,True,0.3875,0.0246195910557816,0.0125,0.057648688554763794
8,cell_1,32,0.9707038724327962,True,0.3875,0.0334776673269363,0.0125,0.056331485509872437
6,cell_1,99,0.9585582709524072,True,0.3875,0.0557308638639663,0.0125,0.06188603490591049
5,cell_1,78,0.6522372086688145,False,0.4375,0.3891283381078695,0.0374999999999999,0.0527200847864151
2,cell_1,25,0.6430432549968894,False,0.1875,0.1431507745833455,0.2125,0.05974620208144188
0,cell_1,82,0.6348946904460089,False,0.1875,0.106867020768501,0.2125,0.06332536786794662
4,cell_1,60,0.6309580029039856,False,0.1875,0.097741559576474,0.2125,0.059807125478982925
1,cell_2,112,0.964980079464668,True,0.6875,0.0286476918274828,0.0124999999999999,0.05058366805315018
3,cell_2,71,0.96297622945023,True,0.6875,0.0293836692141889,0.0124999999999999,0.05675244703888893
2,cell_2,3,0.962160796003838,True,0.6875,0.0349258542657336,0.0124999999999999,0.05974620208144188
6,cell_2,106,0.9614814998456346,True,0.6875,0.0366144279197682,0.0124999999999999,0.06188603490591049
0,cell_2,108,0.9536682907885826,True,0.6875,0.0405435507166599,0.0124999999999999,0.06332536786794662
8,cell_2,58,0.942368420239476,True,0.6875,0.0926149508534121,0.0124999999999999,0.056331485509872437
9,cell_2,124,0.9411767891492224,True,0.6875,0.095638317521636,0.0124999999999999,0.057648688554763794
5,cell_2,72,0.929048026379628,True,0.6875,0.116993730838495,0.0124999999999999,0.0527200847864151
7,cell_2,71,0.7446467967912231,False,0.7125000000000001,0.3262842285763417,0.0125000000000001,0.05680962651968002
4,cell_2,64,0.5959880247504696,False,0.5125,0.4923897551660114,0.1875,0.059807125478982925
3,cell_3,127,0.9795363075607816,True,0.7125000000000001,0.011475925230106,0.0125000000000001,0.05675244703888893
9,cell_3,22,0.9793250660235548,True,0.7125000000000001,0.0098049782362355,0.0125000000000001,0.057648688554763794
1,cell_3,28,0.9790014392526166,True,0.7125000000000001,0.0095788596462891,0.0125000000000001,0.05058366805315018
5,cell_3,123,0.9787627055467764,True,0.7125000000000001,0.0164529869143684,0.0125000000000001,0.0527200847864151
7,cell_3,72,0.9783907756813356,True,0.7125000000000001,0.0212350298411793,0.0125000000000001,0.05680962651968002
2,cell_3,73,0.9781903403087864,True,0.7125000000000001,0.012139782747342,0.0125000000000001,0.05974620208144188
0,cell_3,41,0.9779585419395724,True,0.7125000000000001,0.0102957893965946,0.0125000000000001,0.06332536786794662
8,cell_3,90,0.9667128537200592,True,0.7125000000000001,0.0429043027297576,0.0125000000000001,0.056331485509872437
6,cell_3,106,0.7428584084493818,False,0.6875,0.1658486419459407,0.0124999999999999,0.06188603490591049
4,cell_3,0,0.5441205306387072,False,0.6625000000000001,0.4715707951293303,0.0374999999999998,0.059807125478982925
