step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.1827881634235382,0.1827881634235382,4.0,0.0
100,0.15728077292442322,0.15728077292442322,4.0,0.0
200,0.1547090709209442,0.1547090709209442,4.0,0.0
300,0.1545354276895523,0.1545354276895523,4.0,0.0
400,0.15393395721912384,0.15393395721912384,4.0,0.0
500,0.15359462797641754,0.15359462797641754,4.0,0.0
600,0.1539769023656845,0.1539769023656845,4.0,0.0
700,0.15417225658893585,0.15417225658893585,4.0,0.0
800,0.15413017570972443,0.15413017570972443,4.0,0.0
900,0.15363875031471252,0.15363875031471252,4.0,0.0
1000,0.15518955886363983,0.15518955886363983,4.0,0.0
1100,0.30842024087905884,0.15421029925346375,4.0,0.5546875
1200,0.3038606643676758,0.1519303321838379,4.0,0.5078125
1300,0.30638355016708374,0.15319177508354187,4.0,0.5234375
1400,0.3079086244106293,0.15395431220531464,4.0,0.5234375
1500,0.3045503497123718,0.1522751748561859,4.0,0.5234375
1600,0.3057790994644165,0.15288954973220825,4.0,0.5390625
1700,0.3064289093017578,0.1532144546508789,4.0,0.5390625
1800,0.30297940969467163,0.15148970484733582,4.0,0.5390625
1879,0.30679064989089966,0.15339532494544983,4.0,0.5390625
