step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.17867368459701538,0.17867368459701538,4.0,0.0
100,0.1607678085565567,0.1607678085565567,4.0,0.0
200,0.15712454915046692,0.15712454915046692,4.0,0.0
300,0.15479277074337006,0.15479277074337006,4.0,0.0
400,0.15507204830646515,0.15507204830646515,4.0,0.0
500,0.1546202450990677,0.1546202450990677,4.0,0.0
600,0.15522827208042145,0.15522827208042145,4.0,0.0
700,0.15425118803977966,0.15425118803977966,4.0,0.0
800,0.15472769737243652,0.15472769737243652,4.0,0.0
900,0.15513703227043152,0.15513703227043152,4.0,0.0
1000,0.15485474467277527,0.15485474467277527,4.0,0.0390625
1100,0.30815252661705017,0.15407626330852509,4.0,0.1015625
1200,0.30941343307495117,0.15470671653747559,4.0,0.375
1300,0.31015467643737793,0.15507683157920837,4.0,0.390625
1400,0.30859681963920593,0.15429840981960297,4.0,0.4375
1500,0.3068963885307312,0.1534481942653656,4.0,0.4609375
1600,0.3068302869796753,0.15341515839099884,4.0,0.4609375
1700,0.30514010787010193,0.15257005393505096,4.0,0.5078125
1800,0.30868101119995117,0.15434050559997559,4.0,0.515625
1879,0.3054972290992737,0.15274861454963684,4.0,0.546875
