latent_idx,peak_position,cell_0_score,cell_0_peak_distance,cell_0_outside_mean,cell_0_hit,cell_1_score,cell_1_peak_distance,cell_1_outside_mean,cell_1_hit,cell_2_score,cell_2_peak_distance,cell_2_outside_mean,cell_2_hit,cell_3_score,cell_3_peak_distance,cell_3_outside_mean,cell_3_hit,active_samples,strongest_coactive_unit,strongest_decoder_unit,cell_0_shape_hit,cell_0_support_hit,cell_0_biology_hit,cell_1_shape_hit,cell_1_support_hit,cell_1_biology_hit,cell_2_shape_hit,cell_2_support_hit,cell_2_biology_hit,cell_3_shape_hit,cell_3_support_hit,cell_3_biology_hit
0,0.36250000000000004,0.3314717330174827,0.16250000000000003,0.786106022387329,False,0.32661859579909835,0.03749999999999998,0.780161756527385,False,0.43920194829344683,0.3374999999999999,0.7640441801948019,False,0.30972817354237714,0.3374999999999999,0.7763384370392276,False,3239,80,90,False,True,False,False,True,False,False,True,False,False,True,False
1,0.6875,0.2475276913987685,0.4875,0.8721556745677175,False,0.2524517070349669,0.2875,0.8720865448669243,False,0.3660754700742832,0.012499999999999956,0.8730947785044333,False,0.22900287218702586,0.012499999999999956,0.8694394472828417,False,5251,67,67,False,True,False,False,True,False,False,True,False,False,True,False
2,0.5125,0.27708409563401404,0.31249999999999994,0.8433071142396857,False,0.26723688866468687,0.11249999999999993,0.854449449628392,False,0.38504459052298956,0.1875,0.8453770210181001,False,0.2503246673288321,0.1875,0.8390438600321914,False,6609,97,97,False,True,False,False,True,False,False,True,False,False,True,False
3,0.6375,0.3275468614133227,0.43749999999999994,0.7855444583524603,False,0.328398429630142,0.23749999999999993,0.7897975359968233,False,0.445888023970638,0.0625,0.7745810472647698,False,0.31850163951708443,0.0625,0.7680617265141066,False,2882,23,23,False,True,False,False,True,False,False,True,False,False,True,False
4,0.8375000000000001,0.2766441518205248,0.6375000000000002,0.8501814435885316,False,0.26587593927415265,0.4375000000000001,0.8516144257088033,False,0.38914806375065447,0.13750000000000018,0.8294771399998707,False,0.24893918254527436,0.13750000000000018,0.84884589960698,False,6887,56,56,False,True,False,False,True,False,False,True,False,False,True,False
5,0.6875,0.2384127430348646,0.4875,0.8894656726405383,False,0.2361886153659536,0.2875,0.8947646610420955,False,0.3626902744414663,0.012499999999999956,0.8726726451655794,False,0.22079977401459883,0.012499999999999956,0.8756906270284935,False,6270,56,56,False,True,False,False,True,False,False,True,False,False,True,False
6,0.8375000000000001,0.2915274899942467,0.6375000000000002,0.8272779177360351,False,0.28394583714143273,0.4375000000000001,0.829694647488089,False,0.3836766281331553,0.13750000000000018,0.8395085649760322,False,0.252025941132496,0.13750000000000018,0.8446172954311986,False,5931,48,22,False,True,False,False,True,False,False,True,False,False,True,False
7,0.8125,0.28693945497029383,0.6125,0.8366702212625141,False,0.28251934775500964,0.4125,0.8371597911631519,False,0.41140136443743736,0.11250000000000004,0.8096372737559762,False,0.2772268297596615,0.11250000000000004,0.8113323747217619,False,5381,40,40,False,True,False,False,True,False,False,True,False,False,True,False
8,0.6875,0.24906853593924705,0.4875,0.877471119823473,False,0.24393372024827553,0.2875,0.8823603510233137,False,0.3650292585378856,0.012499999999999956,0.8629668604453995,False,0.2247483692407246,0.012499999999999956,0.8706953318169348,False,6334,67,97,False,True,False,False,True,False,False,True,False,False,True,False
9,0.16250000000000003,0.25949694068411433,0.03749999999999998,0.8700745343781252,False,0.24977583677791837,0.2375,0.8732029231807852,False,0.3695441644373768,0.5374999999999999,0.8583950149007373,False,0.23168676811774325,0.5374999999999999,0.8659134642355887,False,5450,39,75,False,True,False,False,True,False,False,True,False,False,True,False
10,0.037500000000000006,0.2559543715050967,0.1625,0.8701171632717379,False,0.24073973296834705,0.36250000000000004,0.8822165626689858,False,0.35415837694697205,0.6625,0.884131924481159,False,0.21697291799474383,0.6625,0.8806194665510556,False,6428,18,18,False,True,False,False,True,False,False,True,False,False,True,False
11,0.2375,0.28065174872743526,0.03749999999999998,0.8463417106520879,False,0.2773479136498417,0.16250000000000003,0.8306116942768618,False,0.3876013224324262,0.46249999999999997,0.8193339870037168,False,0.24919210372468026,0.46249999999999997,0.8451952992811849,False,3742,69,69,False,True,False,False,True,False,False,True,False,False,True,False
12,0.9125000000000001,0.2635740530582926,0.7125000000000001,0.8640462022763434,False,0.2660104070997913,0.5125000000000001,0.8545638669285287,False,0.3877829538457366,0.21250000000000013,0.8253491911267274,False,0.2479589500841871,0.21250000000000013,0.8481082641818187,False,6370,88,88,False,True,False,False,True,False,False,True,False,False,True,False
13,0.0625,0.29359933513217096,0.1375,0.8286587290529329,False,0.28837595026689,0.3375,0.8245230292142569,False,0.40715810465027635,0.6375,0.8161311622511187,False,0.27203565048939105,0.6375,0.8200157657253515,False,2737,53,53,False,True,False,False,True,False,False,True,False,False,True,False
14,0.36250000000000004,0.40971864551009307,0.16250000000000003,0.6747784607849974,False,0.40623565416515905,0.03749999999999998,0.6883031364472977,False,0.4567081121723704,0.3374999999999999,0.7308251934998462,False,0.3593848572150058,0.3374999999999999,0.7112937358046938,False,1741,72,72,False,True,False,False,True,False,False,True,False,False,True,False
15,0.9125000000000001,0.29348737754212983,0.7125000000000001,0.8258123149507786,False,0.28842012106482307,0.5125000000000001,0.832112816671134,False,0.405101650757102,0.21250000000000013,0.8214445992571066,False,0.2744990622656506,0.21250000000000013,0.8211648491517407,False,5384,51,51,False,True,False,False,True,False,False,True,False,False,True,False
