step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.18054114282131195,0.18054114282131195,4.0,0.0
100,0.15691347420215607,0.15691347420215607,4.0,0.0
200,0.15544219315052032,0.15544219315052032,4.0,0.0
300,0.15388153493404388,0.15388153493404388,4.0,0.0
400,0.15416856110095978,0.15416856110095978,4.0,0.0
500,0.1542767882347107,0.1542767882347107,4.0,0.0
600,0.15498535335063934,0.15498535335063934,4.0,0.0
700,0.1540008783340454,0.1540008783340454,4.0,0.0
800,0.1537518948316574,0.1537518948316574,4.0,0.0
900,0.15446189045906067,0.15446189045906067,4.0,0.0
1000,0.1541787087917328,0.1541787087917328,4.0,0.0
1100,0.3075520992279053,0.15377624332904816,4.0,0.3828125
1200,0.30778253078460693,0.15389126539230347,4.0,0.3046875
1300,0.30964237451553345,0.15482118725776672,4.0,0.34375
1400,0.3078075349330902,0.1539037674665451,4.0,0.3671875
1500,0.30388155579566956,0.15194077789783478,4.0,0.40625
1600,0.3035340905189514,0.1517670452594757,4.0,0.4140625
1700,0.30149343609809875,0.15074671804904938,4.0,0.421875
1800,0.3076757788658142,0.1538378894329071,4.0,0.4296875
1879,0.3047254681587219,0.15236273407936096,4.0,0.4296875
