latent_idx,left_mean_activation,right_mean_activation,right_selectivity,left_active_windows,right_active_windows,matched_position_bins,matched_windows_per_direction,global_place_energy_enrichment,global_decoder_center_displacement,decoder_center_displacement,place_energy_enrichment,pair_min_unit_energy_fraction,pair_known_place_energy_fraction,place_energy_fraction,global_left_mean_activation,global_right_mean_activation,global_right_selectivity,global_left_active_windows,global_right_active_windows,global_matched_position_bins,global_matched_windows_per_direction,right_selection_score,right_passes,left_selection_score,left_passes,is_directional_hit
0,0.0,0.0,0.0,0,0,8,209,0.8216087,4.602006977594275e-05,-0.399999863699024,0.00017795138,5.3531824e-07,0.00010829449,0.03310054,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
1,0.0,0.0,0.0,0,0,8,209,0.07706732,-8.73527753464387e-08,-0.3020928130764673,0.00017108851,0.0030330503,0.0011099939,0.00320086,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
2,0.0,0.0,0.0,0,0,8,209,0.87206626,-0.1762492724238111,5.551115123125783e-17,1.2612815,0.4790655,0.72315687,0.03506208,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
3,0.0,0.0,0.0,0,0,8,209,0.6179067,-0.0546857532640147,0.09188020893828167,0.18607317,0.32435495,0.15056737,0.025099888,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
4,0.0,0.0,0.0,0,0,8,209,1.5095496,0.1267463373412837,0.10444725760095946,2.293301,0.48309013,0.7595979,0.05917586,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
5,0.0,0.0,0.0,0,0,8,209,1.8249168,0.017739091755865855,0.006915284566070268,1.7639027,0.2240537,0.48328304,0.07066497,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
6,0.0,0.0,0.0,0,0,8,209,1.7475114,-0.0006241992176589939,-0.006278648708860246,0.13941105,0.019300928,0.039888453,0.06787109,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
7,0.0,0.0,0.0,0,0,8,209,0.75022215,-2.2446866587699787e-10,-0.18123431949156985,2.440286e-09,0.0,1.6263755e-09,0.030311735,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
8,0.009165663254318055,0.027575843071823484,0.5010730821317888,1,1,8,209,2.5887792,-0.1959089840241205,-0.16104909152423696,1.7095414,0.3622957,0.33018294,0.097363606,0.00830259654151238,0.021933033639868607,0.450807111217381,3,7,8,939,-1.0,False,-1.0,False,False
9,0.0,0.0,0.0,0,0,8,209,1.5214695,0.15708385625428245,-0.20000321471014887,0.87540305,0.00041664785,0.28768343,0.05961529,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
10,0.0,0.0,0.0,0,0,8,209,1.5807613,-0.2918502941208906,0.364455527425474,2.7392151,0.22541864,0.8664226,0.061794925,0.0,0.021504562439375156,0.9999999999534983,0,1,8,939,-1.0,False,-1.0,False,False
11,0.0,0.0,0.0,0,0,8,209,1.2123243,0.069421966538735,0.06941329483056219,2.4246314,0.24577852,0.9999929,0.048084594,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
12,0.0,0.0,0.0,0,0,8,209,1.2069322,-0.15657371533199765,-0.19965662580340912,1.3643714,0.22481884,0.56522286,0.047880962,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
13,0.0,0.0,0.0,0,0,8,209,1.3220448,0.1425343066544229,-0.1956978542951946,0.6356918,0.3425374,0.2404199,0.05220924,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
14,0.0,0.0,0.0,0,0,8,209,1.9191131e-05,9.2910164685156e-06,0.28189466960908627,1.4988444e-10,0.0,3.9050374e-06,7.9962985e-07,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
15,0.0,0.0,0.0,0,0,8,209,1.9189306,-0.23831535228066397,0.06977036453644087,0.51534057,1.505274e-05,0.13427806,0.07403587,0.020569158438295602,0.0,-0.9999999999513836,1,0,8,939,-1.0,False,-1.0,False,False
16,0.0,0.0,0.0,0,0,8,209,1.0336418,0.2600930373595771,0.1512655136560678,1.0262527,0.4390636,0.49642575,0.04129011,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
17,0.0,0.0,0.0,0,0,8,209,1.1883466,0.14443286304282316,-0.0912275569462139,1.2449784,0.46103936,0.5238279,0.04717844,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
18,0.0,0.0,0.0,0,0,8,209,2.5419064,-0.11710046457306772,-0.05119151678520395,2.9021428,0.15666649,0.57085943,0.09576958,0.009194590413151458,0.0,-0.9999999998912403,1,0,8,939,-1.0,False,-1.0,False,False
19,0.0,0.0,0.0,0,0,8,209,3.865854,-0.05035855970331471,-0.042566165010247625,3.0325704,0.08838382,0.39222518,0.1387309,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
