step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.17915335297584534,0.17915335297584534,4.0,0.0
100,0.16093507409095764,0.16093507409095764,4.0,0.0
200,0.15655359625816345,0.15655359625816345,4.0,0.0
300,0.1543094664812088,0.1543094664812088,4.0,0.0
400,0.15436145663261414,0.15436145663261414,4.0,0.0
500,0.1546473503112793,0.1546473503112793,4.0,0.0
600,0.15387746691703796,0.15387746691703796,4.0,0.0
700,0.15399524569511414,0.15399524569511414,4.0,0.0
800,0.15497250854969025,0.15497250854969025,4.0,0.0
900,0.15415534377098083,0.15415534377098083,4.0,0.0
1000,0.1537412405014038,0.1537412405014038,4.0,0.0390625
1100,0.3073517084121704,0.1536758542060852,4.0,0.078125
1200,0.31027382612228394,0.15513691306114197,4.0,0.359375
1300,0.30730921030044556,0.15365460515022278,4.0,0.5078125
1400,0.30572617053985596,0.15286283195018768,4.0,0.5859375
1500,0.3080679774284363,0.15403398871421814,4.0,0.5859375
1600,0.30761751532554626,0.15380875766277313,4.0,0.6015625
1700,0.30540409684181213,0.15270133316516876,4.0,0.6328125
1800,0.3073484003543854,0.1536742001771927,4.0,0.6328125
1879,0.3099849820137024,0.1549924910068512,4.0,0.625
