step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.18031780421733856,0.18031780421733856,4.0,0.0
100,0.15936598181724548,0.15936598181724548,4.0,0.0
200,0.15625420212745667,0.15625420212745667,4.0,0.0
300,0.15446850657463074,0.15446850657463074,4.0,0.0
400,0.15444965660572052,0.15444965660572052,4.0,0.0
500,0.15473608672618866,0.15473608672618866,4.0,0.0
600,0.15380524098873138,0.15380524098873138,4.0,0.0
700,0.15410958230495453,0.15410958230495453,4.0,0.0
800,0.15323682129383087,0.15323682129383087,4.0,0.0
900,0.15295228362083435,0.15295228362083435,4.0,0.0
1000,0.15501177310943604,0.15501177310943604,4.0,0.0078125
1100,0.3075389266014099,0.15376946330070496,4.0,0.046875
1200,0.30903351306915283,0.1545073688030243,4.0,0.2421875
1300,0.3068278729915619,0.15341393649578094,4.0,0.390625
1400,0.3059890866279602,0.1529945433139801,4.0,0.4453125
1500,0.3080451488494873,0.15402257442474365,4.0,0.4609375
1600,0.30630216002464294,0.15315108001232147,4.0,0.546875
1700,0.307297945022583,0.1536489725112915,4.0,0.5625
1800,0.3076595664024353,0.15382978320121765,4.0,0.6015625
1879,0.3069649338722229,0.15348246693611145,4.0,0.6171875
