seed,level,both,msle,cell_2_hit,cell_2_latent_idx,cell_2_score,cell_3_hit,cell_3_latent_idx,cell_3_score
0,16,False,0.12139735827445984,False,,,False,,
0,32,False,0.10891723908583323,False,,,False,,
0,64,False,0.08967679826815923,False,,,True,41.0,0.9793981286270572
0,128,True,0.06830132941404979,True,108.0,0.9546560263721369,True,41.0,0.9794831292449279
1,16,False,0.12114151606559753,False,,,False,,
1,32,False,0.10422526901165645,False,,,True,28.0,0.9471835189591465
1,64,False,0.08499945811430613,False,,,True,28.0,0.9691385101717626
1,128,True,0.06493591809272767,True,112.0,0.9419583009023134,True,28.0,0.9802912586156655
2,16,False,0.12250478589932123,True,3.0,0.9115524887434338,False,,
2,32,False,0.10681062517166137,True,3.0,0.9647418115333821,False,,
2,64,False,0.08408757881323496,True,3.0,0.9632195278579125,False,,
2,128,True,0.06621848242680231,True,3.0,0.9617506241668841,True,73.0,0.9781073618110365
3,16,False,0.1226400828242302,False,,,False,,
3,32,False,0.10651979163885117,True,31.0,0.924818067832671,False,,
3,64,True,0.08455603663921356,True,31.0,0.9564931445807957,True,30.0,0.9007459099123151
3,128,True,0.06677593845923742,True,71.0,0.9228220306962964,True,127.0,0.9683080183017371
4,16,False,0.12161738063494365,False,,,False,,
4,32,False,0.10823012059529623,False,,,False,,
4,64,False,0.0879215413292249,False,,,False,,
4,128,False,0.0715461390932401,False,,,False,,
5,16,False,0.12244203819036484,False,,,False,,
5,32,False,0.10577696168025334,False,,,False,,
5,64,False,0.08830475875139236,False,,,True,3.0,0.8552882281897337
5,128,True,0.07282895898024241,True,123.0,0.9475935567434312,True,3.0,0.9109094866845638
6,16,False,0.12172959362665813,False,,,False,,
6,32,False,0.10638858332236607,True,30.0,0.9100141212273867,False,,
6,64,False,0.08611006046930948,True,30.0,0.9498715785202556,False,,
6,128,False,0.07200552569230398,True,30.0,0.9649079110805978,False,,
