latent_idx,peak_position,cell_0_score,cell_0_peak_distance,cell_0_outside_mean,cell_0_hit,cell_1_score,cell_1_peak_distance,cell_1_outside_mean,cell_1_hit,cell_2_score,cell_2_peak_distance,cell_2_outside_mean,cell_2_hit,cell_3_score,cell_3_peak_distance,cell_3_outside_mean,cell_3_hit,active_samples,strongest_coactive_unit,strongest_decoder_unit,cell_0_shape_hit,cell_0_support_hit,cell_0_biology_hit,cell_1_shape_hit,cell_1_support_hit,cell_1_biology_hit,cell_2_shape_hit,cell_2_support_hit,cell_2_biology_hit,cell_3_shape_hit,cell_3_support_hit,cell_3_biology_hit
0,0.0625,0.20424264099416367,0.1375,0.928347901371559,False,0.2121072176451968,0.3375,0.9186555658304726,False,0.3402665223811757,0.6375,0.8980145497997933,False,0.19088353269304592,0.6375,0.9041344491151745,False,18064,99,64,False,True,False,False,True,False,False,True,False,False,True,False
1,0.1875,0.5993563123982975,0.012500000000000011,0.4806750143703799,False,0.5210764540816115,0.21250000000000002,0.5147184283500054,False,0.49382711207390884,0.5125,0.6661901114401579,False,0.44747624799376007,0.5125,0.5912226419712661,False,13929,89,89,False,True,False,False,True,False,False,True,False,False,True,False
2,0.1125,0.2553231741436893,0.08750000000000001,0.86870678273279,False,0.24970864176538965,0.28750000000000003,0.8723378255766331,False,0.3746827299358335,0.5874999999999999,0.8561670633913446,False,0.23479454116833898,0.5874999999999999,0.860926106303883,False,11898,31,31,False,True,False,False,True,False,False,True,False,False,True,False
3,0.2375,0.2866961339758757,0.03749999999999998,0.8272272208381148,False,0.2703517711796848,0.16250000000000003,0.8396575310961163,False,0.3607372731634224,0.46249999999999997,0.8907669063090266,False,0.23292900290072682,0.46249999999999997,0.8695425915769438,False,15555,56,86,False,True,False,False,True,False,False,True,False,False,True,False
4,0.36250000000000004,0.22256941350679937,0.16250000000000003,0.9073684112367859,False,0.22428303372435177,0.03749999999999998,0.9032519616654264,False,0.34404026190684367,0.3374999999999999,0.8943437137766479,False,0.19722429445210632,0.3374999999999999,0.8991255065663657,False,15713,41,64,False,True,False,False,True,False,False,True,False,False,True,False
5,0.5125,0.2653538368774314,0.31249999999999994,0.860975246620633,False,0.2648753932661172,0.11249999999999993,0.8608307246974346,False,0.37903129780250655,0.1875,0.8427599541822584,False,0.238173035878813,0.1875,0.8599136391094596,False,12589,46,46,False,True,False,False,True,False,False,True,False,False,True,False
6,0.5125,0.25892836294320465,0.31249999999999994,0.8695978648010374,False,0.2576387849789512,0.11249999999999993,0.8673050100462022,False,0.38306271315719265,0.1875,0.8455913956097166,False,0.24350544072941183,0.1875,0.8502988130375602,False,13882,99,40,False,True,False,False,True,False,False,True,False,False,True,False
7,0.9875,0.2618976030898429,0.7875000000000001,0.8636286253107047,False,0.26356978023592437,0.5875,0.8614908520375474,False,0.3765839761344245,0.2875000000000001,0.8498434922360271,False,0.23518138987782633,0.2875000000000001,0.8606190717827152,False,14212,46,38,False,True,False,False,True,False,False,True,False,False,True,False
8,0.1875,0.2629702606870419,0.012500000000000011,0.8618067861629083,False,0.2513021227008665,0.21250000000000002,0.8722773959900468,False,0.3641521395873958,0.5125,0.8677005110710669,False,0.2245844628210657,0.5125,0.8747019731082383,False,13726,41,56,False,True,False,False,True,False,False,True,False,False,True,False
9,0.1875,0.549439462941578,0.012500000000000011,0.5360385992153911,False,0.4787632622030529,0.21250000000000002,0.5738852760254947,False,0.48678119414760346,0.5125,0.7039593952151733,False,0.4238421578636704,0.5125,0.6313879306866547,False,14454,42,76,False,True,False,False,True,False,False,True,False,False,True,False
10,0.9125000000000001,0.22554671158583206,0.7125000000000001,0.9064097140393399,False,0.2250322719852511,0.5125000000000001,0.9039542367196167,False,0.3455679838662319,0.21250000000000013,0.8936680183884421,False,0.20351922971887204,0.21250000000000013,0.8944619256303368,False,19056,42,42,False,True,False,False,True,False,False,True,False,False,True,False
11,0.6375,0.2096319613798946,0.43749999999999994,0.9259666935272658,False,0.21365111197157738,0.23749999999999993,0.9113957861951711,False,0.33765228413091364,0.0625,0.8958177290640221,False,0.19076192339775733,0.0625,0.9075033356180656,False,15164,82,12,False,True,False,False,True,False,False,True,False,False,True,False
12,0.9125000000000001,0.25164263940380194,0.7125000000000001,0.8726340702420252,False,0.24880223404056212,0.5125000000000001,0.8736287065432992,False,0.3505558416053405,0.21250000000000013,0.883199533334791,False,0.2128288910766093,0.21250000000000013,0.8899196922220326,False,16790,99,90,False,True,False,False,True,False,False,True,False,False,True,False
13,0.3125,0.20972906253121504,0.11249999999999999,0.9249474917544287,False,0.21291743353548287,0.08750000000000002,0.9173358998881118,False,0.33438553502406043,0.38749999999999996,0.9060282660247818,False,0.1901695227408079,0.38749999999999996,0.9093811566140844,False,15263,41,79,False,True,False,False,True,False,False,True,False,False,True,False
14,0.7875000000000001,0.2322204991778819,0.5875000000000001,0.8992506804286761,False,0.23073950558131007,0.38750000000000007,0.8969611999712797,False,0.35278600850668895,0.08750000000000013,0.8823043396900043,False,0.20758744816898422,0.08750000000000013,0.8869904203135908,False,15197,89,78,False,True,False,False,True,False,False,True,False,False,True,False
15,0.3875,0.21890028579769694,0.1875,0.9127169817736477,False,0.22406639391205696,0.012500000000000011,0.906239915211056,False,0.3493492913189825,0.31249999999999994,0.8839321182484895,False,0.20292863173293074,0.31249999999999994,0.8945254577666221,False,14049,67,67,False,True,False,False,True,False,False,True,False,False,True,False
