step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.18163004517555237,0.18163004517555237,4.0,0.0
100,0.15569253265857697,0.15569253265857697,4.0,0.0
200,0.15529561042785645,0.15529561042785645,4.0,0.0
300,0.15428124368190765,0.15428124368190765,4.0,0.0
400,0.15373794734477997,0.15373794734477997,4.0,0.0
500,0.15433533489704132,0.15433533489704132,4.0,0.0
600,0.15378978848457336,0.15378978848457336,4.0,0.0
700,0.1531718522310257,0.1531718522310257,4.0,0.0
800,0.1534857302904129,0.1534857302904129,4.0,0.0
900,0.1533784568309784,0.1533784568309784,4.0,0.0
1000,0.15392765402793884,0.15392765402793884,4.0,0.0
1100,0.30694088339805603,0.15347044169902802,4.0,0.25
1200,0.30873674154281616,0.15436837077140808,4.0,0.21875
1300,0.3067956566810608,0.1533978283405304,4.0,0.2734375
1400,0.30662113428115845,0.15331056714057922,4.0,0.296875
1500,0.30709967017173767,0.15354983508586884,4.0,0.3203125
1600,0.3049641251564026,0.1524820625782013,4.0,0.34375
1700,0.3088452219963074,0.1544226109981537,4.0,0.359375
1800,0.30557364225387573,0.15278682112693787,4.0,0.359375
1879,0.3037112355232239,0.15185561776161194,4.0,0.3671875
