pc,right_clean_auc,best_oriented_clean_auc,right_global_auc,pair_energy,pair_fraction_of_place_energy,pair_min_unit_fraction,pair_noise_energy_enrichment,passes_pair_structure
1,0.5348923591028855,0.5348923591028855,0.5344480969214916,0.4540708535540026,0.45745744715515635,0.08964869824015105,2944.099488150853,False
2,0.48534424639687795,0.514655753603122,0.4728523229212961,0.5814499791586754,0.5917473944604792,0.018219324623774288,1603.8425181867417,False
3,0.1839067365383155,0.8160932634616845,0.5074281827911826,0.7244468771375967,0.7497094678965521,0.003237525833030777,1031.960063878601,False
4,0.011012379433432064,0.988987620566568,0.26837443478484424,0.2345015874299278,0.25522430777910265,0.035508839833387006,138.63161820401666,False
5,0.5257042372831846,0.5257042372831846,0.4878469866858864,0.6812145789551861,0.7765419212639814,0.2659926313163687,266.3621991959415,True
6,0.5325369367474632,0.5325369367474632,0.4791395665832666,0.6159234625377439,0.7511336596750027,0.49537169292448724,164.23880007548064,True
7,0.5679394289920606,0.5679394289920606,0.5205008553347,0.11471792983556747,0.16814038890118121,0.3476930067267097,17.330883833228516,False
8,0.3764927470190628,0.6235072529809371,0.46464952704675333,0.5573468814638187,0.9686114234884092,0.01694349140587281,63.00791838641512,False
9,0.48032563927300764,0.5196743607269924,0.49396421822442116,0.06105653448466015,0.3286682001550344,0.044547213590176396,3.5993661929212815,False
10,0.47859473859473867,0.5214052614052613,0.4983814699240881,0.05064101794279247,0.2860200953987445,0.04627992890565735,2.953740617486634,False
11,0.5161812456549298,0.5161812456549298,0.5128621800120583,0.02659326460830882,0.16165018021646058,0.05218984561651804,1.5278202368368659,False
12,0.4949101191206454,0.5050898808793546,0.4865407558204687,0.03973224321695668,0.3020462095456154,0.04169755057636917,2.1960200372202787,False
13,0.49087170139801717,0.5091282986019828,0.5079381601337998,0.04585863878716214,0.32204946939378265,0.033709369172628775,2.5667036530223197,False
14,0.5161126592705539,0.5161126592705539,0.5012823785787894,0.038490510890705786,0.2729836688275323,0.041054027110113245,2.1508068149239548,False
15,0.4616706100916627,0.5383293899083372,0.49643523824508556,0.03578119701853245,0.2858996756183094,0.03781371564786534,1.9631974756479802,False
16,0.5167861378387694,0.5167861378387694,0.507922209609126,0.05224281924021391,0.44128943629918393,0.07362077843741703,2.844393848014321,False
17,0.4593794509583983,0.5406205490416016,0.49551398448359063,0.031236554182390252,0.22463740653004155,0.024059249272358606,1.7415183278354323,False
18,0.5097127433969539,0.5097127433969539,0.5010294061928919,0.02471879980796432,0.2475363339336637,0.14298488648311541,1.3181298912144253,False
19,0.5754005059268217,0.5754005059268217,0.49710652722708004,0.036743305112669,0.24175073925985832,0.06105120350822672,2.0797812436309737,False
20,0.5144863323810692,0.5144863323810692,0.5281284342251895,0.02290157783060736,0.24020232507979475,0.35744920499324445,1.2151296808785375,False
21,0.4900910785121311,0.5099089214878689,0.4890613343742839,0.02436626771983691,0.20267937262669072,0.057773324487365975,1.3294026434564872,False
22,0.42954449059712213,0.5704555094028778,0.5096237315781674,0.03316891556464717,0.2658450624427984,0.2665697172084555,1.8190693042331527,False
23,0.41024075339864813,0.5897592466013519,0.4657467294222458,0.030142647915095827,0.2572406080059847,0.17987730514577518,1.6388867056636827,False
24,0.6191105970053338,0.6191105970053338,0.5189553451502357,0.05814048844809867,0.474072092878693,0.07012456131633345,3.180844090246546,False
25,0.4614862330651805,0.5385137669348194,0.5200299033521555,0.029983195488881606,0.35327395026734765,0.07896566864102222,1.5726695683709722,False
26,0.4181452465662992,0.5818547534337009,0.47879626705783496,0.025160222477580117,0.331329610288623,0.15898060299109726,1.3069356308214426,False
27,0.5462197451671136,0.5462197451671136,0.5156059798011554,0.025319876479820886,0.25899820544861807,0.07517611574870128,1.3470419990201026,False
28,0.5516137663506085,0.5516137663506085,0.5166218412407908,0.030597018323977,0.3667304654577619,0.09642219208562164,1.6023434312416844,False
29,0.4576106934001671,0.5423893065998329,0.49811680493712357,0.026650759311390413,0.28395613272055165,0.03987496325450917,1.4117351281760766,False
30,0.5016097352939458,0.5016097352939458,0.49860615119196156,0.021428929779255954,0.22874836496489395,0.12386085039051992,1.1349054997522545,False
31,0.49311624048466157,0.5068837595153384,0.4985784060283882,0.02636641070296692,0.35896380926654936,0.07077709883497416,1.3659162358092558,False
32,0.4882294313873261,0.5117705686126739,0.4819364668803308,0.023868136004875955,0.22559179908551744,0.06212207985476116,1.281227356654997,False
33,0.43522232153811097,0.564777678461889,0.4735767162269159,0.0139281690208839,0.17107812439931216,0.33067730299192927,0.7278057526661713,False
34,0.4188260861945073,0.5811739138054928,0.47271631627203553,0.021011246747571228,0.18100469957794166,0.16087230840474784,1.140987010562535,False
35,0.50845108108266,0.50845108108266,0.5002352061878249,0.02320126255919719,0.3205755563044096,0.04267991188432943,1.2005488530763575,False
36,0.49656542288121236,0.5034345771187876,0.4913608035220381,0.028061108577380436,0.38897557454553305,0.14603822787429446,1.4516573019471215,False
37,0.5190880464564674,0.5190880464564674,0.5066730993247585,0.03104808759360616,0.2711231409484448,0.028638332387479072,1.6830446801409058,False
38,0.49003160582107946,0.5099683941789206,0.5029873288428462,0.039232843364107775,0.373501509932996,0.034780173981647775,2.1042033838283074,False
39,0.501483545694072,0.501483545694072,0.48645775478801284,0.030969732394074318,0.43021534669526157,0.01659404827893521,1.601859548915159,False
40,0.49039241460294086,0.5096075853970592,0.49722501444184486,0.023928985098636987,0.2869578858244318,0.08972929979282575,1.2530840749222607,False
41,0.5871007355217881,0.5871007355217881,0.5373937732764691,0.03910319581640766,0.39033179106498,0.24481676517483084,2.085919517833915,False
42,0.5426454247506879,0.5426454247506879,0.5104561019991161,0.03598256970018647,0.41681647553909323,0.08391498505824384,1.8903520074222464,False
43,0.40535300956353587,0.5946469904364642,0.45671022485748813,0.053375030666800355,0.37732071504864717,0.30948223691849924,2.984130593428949,False
44,0.5575105596158227,0.5575105596158227,0.5243582687159892,0.041544517039117344,0.39535570922469465,0.1003032273506053,2.2282884016556683,False
45,0.5093561409350883,0.5093561409350883,0.5020621082883769,0.027102940794388405,0.3574459191220878,0.09233850182006897,1.4076766830214444,False
46,0.5110963889911257,0.5110963889911257,0.5185459556677607,0.026665417728074212,0.31216403937368814,0.07098653571725777,1.3994857633880746,False
47,0.48505027136606094,0.5149497286339391,0.5098924736986148,0.028963350824924034,0.3583482114270638,0.05779286603320409,1.5124869959459706,False
48,0.5078026067499752,0.5078026067499752,0.5127401075574726,0.03166731943553513,0.32065382789291624,0.0958616353774462,1.6865973017742484,False
49,0.5380856570330255,0.5380856570330255,0.5159764656211405,0.022972458554570307,0.4039577960413104,0.06873314878221258,1.1691667239779866,False
50,0.438251339303971,0.561748660696029,0.48317155367160153,0.03696926016972877,0.41153710579288544,0.09162294170952447,1.949667278021854,False
51,0.6565545565545566,0.6565545565545566,0.5370826241165922,0.04406110094889511,0.3426151805923051,0.4683615513360231,2.4270581051283435,False
52,0.443381764434396,0.556618235565604,0.4916751836487067,0.02731944480615998,0.3306820986590418,0.17022089326175852,1.4294259986924254,False
53,0.5156896904265325,0.5156896904265325,0.5205844181958885,0.02010191586171585,0.2606928478955436,0.16121127310984543,1.0455108644065745,False
54,0.4257315783631573,0.5742684216368428,0.4812060938251204,0.03575200951636758,0.39096944734923533,0.059413180310384214,1.8888185428079876,False
55,0.5472344030238767,0.5472344030238767,0.5137859682000082,0.032423927268392154,0.35976534008554306,0.1571875618930499,1.7105084436799372,False
56,0.5312072722599038,0.5312072722599038,0.5019927780604293,0.012107198555601344,0.17374001588730836,0.10765666748910109,0.6246765687690579,False
57,0.46332462858778656,0.5366753714122134,0.49820303829393453,0.030437349638732673,0.43756522189214264,0.07626033472981562,1.5702182893760936,False
58,0.45453225137435666,0.5454677486256434,0.484215788528714,0.03266934780958887,0.2518409394763448,0.13048213618247553,1.801871313385754,False
59,0.543874137558348,0.543874137558348,0.5072885793721571,0.017607443234469746,0.15543325567792562,0.1638208010470289,0.9531273171822786,False
60,0.4947932768985401,0.5052067231014599,0.5148311520733253,0.023117914129566045,0.2196537076712872,0.18563080190000505,1.2401858313568093,False
61,0.5076590076590077,0.5076590076590077,0.5008175848735158,0.012394290468655002,0.16963599715823988,0.28861040735111193,0.6418198938132255,False
62,0.5175667607246555,0.5175667607246555,0.4912514799480455,0.028015728844168912,0.3722834693230256,0.07834485827549557,1.454188098862327,False
