unit,mse,variance,captured_loading_energy,r2
1,0.11056120863319051,0.1417584554227061,1.0609236675691873,0.220073269678971
2,0.1381725674213195,0.4162965454282178,6.518519221498025,0.668091006426224
3,0.12904330502914355,0.37547271745491545,7.812654174545337,0.6563177588405253
4,0.10986307872944072,0.18854022416107769,1.68908830486563,0.41729633971592095
5,0.15877563739781952,0.17168154031487093,0.7822725697961537,0.07517350376389598
6,0.09115071570102663,0.09345063509671692,0.1388502906524703,0.024611062228843905
7,0.05321201452521604,0.0540329968099592,0.04860383996966378,0.015194091262986098
8,0.0501074124501095,0.050769921919810224,0.03915837016033909,0.013049251301728182
9,0.17403687160233064,0.20406412621111641,1.8122195256422593,0.14714617001187558
10,0.17137294489799929,0.22362001667204626,3.165360065151118,0.23364219604129088
11,0.15336551046535202,0.16273321875737362,0.5672209041854976,0.05756481905509625
12,0.1724884617282648,0.1919813854617573,1.1744387357715567,0.1015354883839793
13,0.14473321844395995,0.15352125326608543,0.5277159835176796,0.05724311543297478
14,0.17365195266759406,0.2250370705959071,3.103666946897198,0.22834068090312054
15,0.17496314079080932,0.2034859711417148,1.7268793386692667,0.14017099159647306
16,0.04924940339774737,0.05030989409607893,0.06347960052980202,0.021079167773764285
17,0.1753897418268033,0.210582762634616,2.1360750108742623,0.1671220396556219
18,0.052959867071554166,0.05380361336521353,0.050435431621940224,0.015681963364283735
19,0.16818522043388934,0.18386747843057774,0.9477314175481828,0.08529109188066397
20,0.08634210556829652,0.08824018311662327,0.11376101346083399,0.021510353687935302
21,0.17806250311557573,0.2125263562251623,2.078849993867317,0.16216272523429354
22,0.14492724420466152,0.1535407287786175,0.5168699799215656,0.056099021038094166
23,0.1058092623949518,0.10907009645610463,0.19558721887573982,0.029896682657332807
24,0.12598519476494993,0.1310424517477339,0.30549162981005606,0.03859250888040122
25,0.0583547562948563,0.05939390541436459,0.06216649680433048,0.017495888042024066
26,0.07223148312168769,0.07400654561415074,0.10354249015994342,0.023985209385636308
27,0.16171461818568605,0.18025462525830652,1.1123124588702438,0.10285454282270134
28,0.16199610399105013,0.1757843848704084,0.8283690710101375,0.07843859902302042
29,0.15215244397608238,0.16243037788158432,0.6211163737816119,0.0632759342159187
30,0.12310550165489739,0.12809722703072643,0.2985713113296185,0.03896825475099219
31,0.17069143347474647,0.23631875863099894,3.9693172752371155,0.2777067954166371
32,0.16402697492302834,0.2404983690024527,4.605507116131835,0.31797053092964833
33,0.16993760962425003,0.18626469555288877,0.9811894503941453,0.08765529012449258
34,0.15611852268313323,0.16637512148596975,0.620523478513881,0.061647430885280796
35,0.16575293027558377,0.1817881497971342,0.9612471159115734,0.08820827726914471
36,0.11474404341986831,0.11852204908278201,0.2246000914124064,0.031875973223133736
37,0.07218151154776883,0.07348485322945482,0.07743463232744077,0.01773619493552403
38,0.16719927319054298,0.18390620583139236,1.010177263463261,0.09084485520932617
39,0.14290706845734272,0.15152625466076303,0.5243571119605445,0.056882460552575176
40,0.10788408508305337,0.111459338343504,0.2162725094197324,0.032076749365155255
41,0.13587606422045226,0.14324115455849412,0.44023206398532555,0.05141741813477385
42,0.17590021531359556,0.2182902036813601,2.5709114694193307,0.19419097904018412
43,0.16853325305948438,0.22872202691406035,3.6173909968736786,0.2631525029165258
44,0.11586538225889381,0.12002734123427117,0.24927878484074317,0.034675090963266264
45,0.15449369319753642,0.1652041441042716,0.6424550218993917,0.06483161160881701
46,0.1109364264865088,0.11498086434755525,0.24088443098781231,0.03517487787203655
47,0.1509867224728098,0.16115804158968483,0.6051416409027155,0.06311394092745082
48,0.10882826068233889,0.11224425318945401,0.20651583509881236,0.030433562610545084
49,0.11891616507377473,0.12360756895214717,0.27708880732739805,0.0379540178497374
50,0.17540315678231855,0.22076140281121717,2.7433236725282493,0.2054627550436725
51,0.09746951081136959,0.09998491894780856,0.15042297491015,0.02515787543671455
52,0.1591189657949894,0.1710425371568584,0.7198991289664318,0.06971114647892662
53,0.06506574104156022,0.0662169306671723,0.06832486315101607,0.017385125133605572
54,0.17247455574941478,0.2011648482659704,1.7400021132909806,0.14262080459814086
55,0.17238255881413297,0.19970965351959125,1.653180405488041,0.1368341200530776
56,0.09482089343726756,0.09724662398962516,0.14413145479760278,0.02494411068312663
57,0.17476734811144548,0.21158905085796534,2.228170919863133,0.17402461326431007
58,0.06249941197899101,0.06363902724120682,0.06790191628604247,0.017907490287310646
59,0.11413048353279824,0.1184857481096013,0.2599094501780421,0.0367577083850994
60,0.07580287830260303,0.07736636550982343,0.09276895771880786,0.020208874966756385
61,0.13542546478741568,0.14216549126578928,0.4060288951297292,0.047409722418308986
62,0.17257566439147126,0.1949328632979263,1.343844738214428,0.11469178941000491
63,0.09150770525340096,0.09376618632898186,0.13553404010327663,0.024086306204850194
64,0.05895560768718419,0.060000209273284276,0.0625874172828733,0.017409965710989628
65,0.12052102008873138,0.1251305072165311,0.273061742556919,0.036837436611867
66,0.08161989928300892,0.08351815715002449,0.11324642861106435,0.02272868477696066
67,0.06421181790755492,0.06527389815055111,0.0631284446542181,0.016271132460122906
68,0.15075017902546436,0.16072554741453662,0.6045138198652324,0.06206460982425033
69,0.1047524039098225,0.10745411726761037,0.1598197335801559,0.025142948697436607
70,0.16417019574815644,0.17736840529737813,0.7957926818324904,0.07441127706534545
71,0.08450187382988747,0.08655961483573549,0.1221917974104775,0.023772529600010417
72,0.17473625704675624,0.22343258193195698,2.9516103114629786,0.21794639109541536
73,0.11471623638769086,0.11879994993325822,0.24444314992746596,0.03437470763128758
74,0.06835890794778424,0.06968587223010525,0.0779334205525819,0.019042084713230434
75,0.15231529714301753,0.16369681634515137,0.6882142446969457,0.06952804248884192
76,0.16646385760279758,0.22762879622977997,3.695958617574635,0.26870474931141586
77,0.12900301449843196,0.13487836767059824,0.3506848146265512,0.043560381650785907
78,0.16746932661361008,0.23312497939226656,3.973184926614945,0.2816328518282948
79,0.13724158654161164,0.14413174196370238,0.41676823668284957,0.04780456635170571
80,0.12950674622669137,0.13496679956658206,0.32983898257179334,0.040454788565962296
81,0.1569808129100402,0.17056072930653482,0.8203453875559099,0.0796192444281153
82,0.16563248107451892,0.23861206292875375,4.399362200597589,0.3058503453617327
83,0.17145719001619084,0.22964469360102352,3.5156399720289224,0.25338057096988953
84,0.12851000179321825,0.1333745503245741,0.2930788861153466,0.03647283922995581
85,0.17079554013723322,0.19246471688288866,1.312515648329314,0.11258778801956071
86,0.14231888582156008,0.14976683270756128,0.4480012566605554,0.04973028240868427
87,0.14385444694692778,0.15082277735731908,0.4208429278049334,0.04620210907456246
88,0.1736571473680782,0.1961235453896027,1.3599660630954282,0.11455227355233977
89,0.1273533749321717,0.1329231226296849,0.3358332563577482,0.041902022667870575
90,0.16600363973115995,0.184563698047319,1.1092972421866034,0.10056180339104703
91,0.16826895915903636,0.18640574881240252,1.0904248918442696,0.09729737290247897
92,0.17056761063123024,0.222421419257285,3.1353021279476696,0.23313316136191498
93,0.07266502948835822,0.07419274240942463,0.09119764824359758,0.020591136969110635
94,0.17274710066516769,0.19214109845806607,1.1728552771770389,0.10093622836829486
95,0.1695530141977409,0.23124815052818004,3.7242606281538055,0.2667919124521644
96,0.16947009180917272,0.23175631887064968,3.7327992350328074,0.2687574059037451
97,0.05394280007897677,0.05490529857874908,0.05629209183236455,0.017530156919041806
98,0.1740896549820082,0.21127572054189536,2.245320812830959,0.17600728311094915
99,0.15370437480683505,0.2494475808771012,5.770996898852378,0.3838209443988847
100,0.15946248216748976,0.23708133055816732,4.646788712758548,0.3273933388510065
