cell,pc,orientation,shape_pearson,raw_shape_pearson,start_shape_pearson,end_shape_pearson,window_mean_rate_score_pearson,window_mean_rate_tuning_pearson,peak_m,half_range_width_m,target_width_m,source_energy,dominant_unit,source_fraction_of_place_energy,source_time_centroid_s,unique_shape_selected
1,1,1,0.5822483409079857,0.5822483409079857,0.653189966166221,0.6277640625970389,0.6306861069575256,0.7010183429027862,0.3625,0.5,0.17500000000000002,0.0407068609299106,2,0.041010464637722455,0.4795068199743648,False
1,2,-1,0.18735532217625178,-0.18735532217625178,0.23354528442797826,0.24131229435451207,0.18313437442574765,0.19474833072278977,0.0375,1.0,0.17500000000000002,0.010593625922778701,2,0.010781237874948087,0.5797330365751491,False
1,3,-1,0.2564454662208934,-0.2564454662208934,-0.1779568330335173,0.23514978867464,0.0222923423992795,0.2051338707560959,0.6625,0.675,0.17500000000000002,0.0023454154793914428,2,0.0024272037695828455,0.6596280672928504,False
1,4,-1,0.3018784975000319,-0.3018784975000319,0.16874416677186946,-0.10440103212376374,0.029855728360689792,0.25440414352874585,0.5375,0.9,0.17500000000000002,0.008326879308724305,3,0.009062719066515224,0.2732723327861648,False
1,5,1,0.5472642654307048,0.5472642654307048,0.5917703506797817,0.6646602554999538,0.3420397562838935,0.4711443605383785,0.2125,0.7250000000000001,0.17500000000000002,0.18119805834736213,2,0.2065544289644748,0.5091019364946824,False
1,6,-1,0.5476154594606732,-0.5476154594606732,0.6976106867433143,0.640283924903134,0.41834863783115356,0.531900091515036,0.6875,0.7000000000000001,0.17500000000000002,0.3051110483492342,2,0.3720903526057717,0.48291605476313654,False
1,7,1,0.5837549086115004,0.5837549086115004,0.232904866372223,0.22894916543849075,0.16598589305998301,0.47825153942287674,0.2125,0.875,0.17500000000000002,0.0748313078855753,3,0.10967915153193122,0.5029767587751904,True
1,8,1,0.29719462547322567,0.29719462547322567,-0.16261337408642176,0.08165360662071199,0.005120387980848197,0.21937445152586735,0.2125,1.0,0.17500000000000002,0.009443402096172223,2,0.016411659329506088,0.4860763051047584,False
1,9,-1,0.0010567043158160236,-0.0010567043158160236,0.006421405573206297,-0.14780643212587377,-0.00318233371425504,-0.015320425221475207,0.6875,0.9750000000000001,0.17500000000000002,0.0027198984827641265,3,0.014641252512605165,0.6670567425665143,False
1,10,1,0.09197124283990243,0.09197124283990243,0.03355144804420906,0.06535624450051851,0.0028086327130645594,0.0731811448277782,0.1375,0.9,0.17500000000000002,0.002343662710102554,3,0.013236989680643227,0.5879597780585197,False
1,11,1,0.06125214725516132,0.06125214725516132,0.15231091655195206,-0.013109676657524362,0.003381663838766298,0.05075043458476141,0.3375,0.9750000000000001,0.17500000000000002,0.0013878983743468502,3,0.008436497949379396,0.4443777173429344,False
1,12,-1,0.06543825862378999,-0.06543825862378999,0.0721560960157775,0.18338590939467095,0.005237564646580471,0.03065605046988625,0.9375,0.9500000000000001,0.17500000000000002,0.0016567372210516522,3,0.012594587098928897,0.5433061617872857,False
1,13,1,0.012504400490250372,0.012504400490250372,-0.031143038815506115,0.10321174868230068,0.001449446872078261,0.012855184664772108,0.6875,0.9,0.17500000000000002,0.0015458657846306816,3,0.010856084455644231,0.5469217699670105,False
1,14,-1,0.2618991836070651,-0.2618991836070651,0.04066234423974115,0.16688272449921251,0.01686495854758994,0.20415490695054767,0.2125,0.8500000000000001,0.17500000000000002,0.0015801904775891444,3,0.011207078940663686,0.5085758387273301,False
1,15,-1,0.03803744899276568,-0.03803744899276568,-0.03625987790683827,0.0711129157705402,0.008134217032216463,0.05199814043235081,0.4375,0.9500000000000001,0.17500000000000002,0.001353020009599033,3,0.010810929037647693,0.5373239251065464,False
1,16,-1,0.29359024897650415,-0.29359024897650415,-0.08645038976731222,0.2806907821271578,0.023986117487523436,0.2411987257642717,0.2125,0.875,0.17500000000000002,0.0038461570202298154,100,0.03248807181655487,0.6483569422340556,False
1,17,-1,0.042592494592558844,-0.042592494592558844,0.1851565069371717,-0.06368132050546431,0.003960271271877646,0.013984647628295722,0.5125,0.9500000000000001,0.17500000000000002,0.0007515280434836629,3,0.005404607359602427,0.35663006000486985,False
1,18,1,0.04086659184378199,0.04086659184378199,-0.17515767182039524,0.26291987101722336,0.006838106788893127,0.07697787605777517,0.6125,0.9750000000000001,0.17500000000000002,0.0035344147845406335,3,0.03539395460795146,0.5871444176376758,False
1,19,-1,0.05262130072786452,-0.05262130072786452,-0.06015204667935249,0.28095894955766476,0.0018383864169449022,0.057305164289918706,0.6875,0.9500000000000001,0.17500000000000002,0.0022432229979984226,3,0.014759173580817866,0.49969492401159765,False
1,20,-1,0.39624843994746267,-0.39624843994746267,0.09435077718785011,0.295938701939644,0.04524865000774335,0.28062675002635207,0.8375,0.875,0.17500000000000002,0.008186150788641513,32,0.0858601301373015,0.41155791287177457,False
1,21,1,0.06822361034466085,0.06822361034466085,-0.13984480643772587,0.1919099100276373,0.006256538186196491,0.08501336910344502,0.6125,0.875,0.17500000000000002,0.0014077202915241688,3,0.011709461161657565,0.5067091882429304,False
1,22,-1,0.27929266827997296,-0.27929266827997296,0.23762669478849796,-0.07816963850336912,0.03154248162080638,0.20274732110601415,0.8375,0.925,0.17500000000000002,0.008841828442179135,3,0.07086624311664097,0.2816957273125595,False
1,23,1,0.28265749980269633,0.28265749980269633,-0.3828994613677022,0.5520586640539699,0.019181517157382536,0.20843101650077545,0.2125,0.9500000000000001,0.17500000000000002,0.005421978276925356,3,0.04627174734217725,0.6150029989718405,False
1,24,-1,0.11548554936128481,-0.11548554936128481,-0.2469033791210855,0.4283044801847976,0.004409564888249164,0.05536505270818737,0.9375,1.0,0.17500000000000002,0.004077076247140272,99,0.033244097545434434,0.5639069618564838,False
1,25,-1,0.3955333406717321,-0.3955333406717321,0.1596803037307423,0.30963419233688627,0.024519020370485627,0.33652320371195305,0.1875,0.925,0.17500000000000002,0.0023676430797740173,3,0.027896513696316336,0.45026717186047305,False
1,26,1,0.06723349015913561,0.06723349015913561,-0.35049056341768503,0.5090032597107628,0.005455448042970003,0.06306870662760727,0.5875,1.0,0.17500000000000002,0.003999987340875846,100,0.05267498123249054,0.49521912410270114,False
1,27,-1,0.14433265001280116,-0.14433265001280116,-0.14522454408786056,0.32259303883142876,0.010194674775175336,0.11244478831332083,0.6625,0.925,0.17500000000000002,0.0019034499649898341,3,0.019470479071511226,0.5875430620751149,False
1,28,-1,0.3259229597617413,-0.3259229597617413,-0.18776894797430949,0.39951608333185,0.015130897329224898,0.30978830594194656,0.0875,0.9,0.17500000000000002,0.0029502315780817953,32,0.03536095538401775,0.557187625359519,False
1,29,-1,0.023883394457430013,-0.023883394457430013,0.08039992289842005,-0.03897762343704529,0.0012074635943104789,0.00833624303619503,0.4125,0.9500000000000001,0.17500000000000002,0.0010626980482464608,3,0.011322740358124526,0.33769029995421196,False
1,30,-1,0.2628415119356441,-0.2628415119356441,0.1054699321403312,0.09429433370264448,0.015991853175845085,0.19341864153842964,0.5875,0.9,0.17500000000000002,0.002654205465417379,99,0.028332967009992778,0.32694519865174154,False
1,31,-1,0.16490844316419173,-0.16490844316419173,0.13347612040874607,-0.19771770811375625,0.003918736183281581,0.08790669730820655,0.7625,0.8,0.17500000000000002,0.0018661380562474102,99,0.02540641700663738,0.4567365285432291,False
1,32,1,0.11065759332991996,0.11065759332991996,-0.06466726253899267,0.2123970956678065,0.01299471789323976,0.08709097964610751,0.6375,0.9750000000000001,0.17500000000000002,0.001482738250879204,3,0.014014231757369749,0.553484325111796,False
1,33,1,0.29054266037278403,0.29054266037278403,-0.12015245573928014,0.5279379201134501,0.02605169973014269,0.24218568619592537,0.2875,0.9,0.17500000000000002,0.004605729367441628,3,0.056571652777282315,0.6050555810359336,False
1,34,1,0.10262125092388748,0.10262125092388748,-0.24984790024576303,0.47966146295140033,0.013382435065728143,0.09017471328822675,0.8875,0.9500000000000001,0.17500000000000002,0.0033801277667435334,3,0.02911864385321136,0.6511386901998444,False
1,35,-1,0.08952945644048517,-0.08952945644048517,-0.1519064744946205,0.2653178226212947,0.006731723447538265,0.10763181853316225,0.7625,0.9,0.17500000000000002,0.0009902278416317276,99,0.013682136495342091,0.5970537315369261,False
1,36,1,0.2364915070841987,0.2364915070841987,0.07806615215702921,0.29255916765813444,0.022065942792343002,0.19892701797334134,0.5625,0.775,0.17500000000000002,0.004097994568828803,76,0.05680530359301517,0.6212518239362731,False
1,37,-1,0.05711433577306525,-0.05711433577306525,-0.023982293548202225,0.2647414030743805,0.006059223773707924,0.09151530507885407,0.4125,0.9500000000000001,0.17500000000000002,0.0008891654525012584,3,0.0077645146284188995,0.5292194386365742,False
1,38,-1,0.23083636838280303,-0.23083636838280303,0.20518585099962633,0.07241749097952903,0.015260065219972349,0.2097427038146414,0.1375,0.925,0.17500000000000002,0.001364525117998404,3,0.012990447497877748,0.48377669563262593,False
