step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.18187418580055237,0.18187418580055237,4.0,0.0
100,0.15551632642745972,0.15551632642745972,4.0,0.0
200,0.15456345677375793,0.15456345677375793,4.0,0.0
300,0.1530822217464447,0.1530822217464447,4.0,0.0
400,0.15317825973033905,0.15317825973033905,4.0,0.0
500,0.15379223227500916,0.15379223227500916,4.0,0.0
600,0.15346114337444305,0.15346114337444305,4.0,0.0
700,0.15325284004211426,0.15325284004211426,4.0,0.0
800,0.1517372876405716,0.1517372876405716,4.0,0.0
900,0.15257778763771057,0.15257778763771057,4.0,0.0
1000,0.15393796563148499,0.15393796563148499,4.0,0.0
1100,0.3059043884277344,0.1529521942138672,4.0,0.34375
1200,0.30647382140159607,0.15323691070079803,4.0,0.296875
1300,0.30629104375839233,0.15314552187919617,4.0,0.34375
1400,0.3036402463912964,0.1518201231956482,4.0,0.34375
1500,0.3071400225162506,0.1535700112581253,4.0,0.34375
1600,0.30516916513442993,0.15258458256721497,4.0,0.359375
1700,0.30466458201408386,0.15233229100704193,4.0,0.359375
1800,0.30396100878715515,0.15198050439357758,4.0,0.359375
1879,0.30602356791496277,0.15301178395748138,4.0,0.359375
